Short Form,Full Form (English),Description,Arabic,Description (Arabic),Chinese,Description (Chinese),French,Description (French),German,Description (German),Italian,Description (Italian),Japanese,Description (Japanese),Korean,Description (Korean),Portugese,Description (Portugese),Russian,Description (Russian),Spanish,Description (Spanish)
,Balloon Oak,"A fancy oak generated with the smallest size possible. It consists of a tall trunk and leaves that form a spherical shape, similar to a balloon. However, it is also sometimes being referred as the fancy oak itself.",,,气球橡树,气球橡树。指一种最小尺寸的华丽橡树，拥有高大的树干和呈球形的树叶，形似气球而得名。有时也直接指代华丽橡树。,,,,,,,,,,,,,,,Roble (Oak) Grande,
,Corner Retraction,Tree farming term. Refers to a type of bottom log processing for big spruce tree farms by removing the corner log first in gt0 to allow sapling planting at that spot.,,,角落侧吸,树场术语。指一种用于大型云杉树场的底部原木处理方式，通过在第0游戏刻（gt0）优先移除角落原木，以便在该位置种植树苗。,,,,,,,,,,,,,,,Retracción de esquina,
XBM,Cross Bone Meal,"Tree farming term. Asynchronous application of bone meal to a sapling with multiple dispensers, usually used to differentiate from synced bone meal",,,交叉催熟,树场群体的术语。指多个发射器对树苗不同步地使用骨粉，一般用于和同步催熟做出区分,,,,,,,,,,,,,,,Polvo de Hueso Cruzado,
Doak,Dark Oak,,,,深色橡树,,,,,,,,,,,,,,,,Roble Oscuro,
,Leaf Detection,Tree farming term. Refers to a method of detecting tree growth by utlising the updates from leaves branching out from the bottom log when tree grows.,,,树电检测/树叶检测,树场述语，指利用树叶状态改变检测树苗是否长大。,,,,,,,,,,,,,,,Detección de Hojas,
,N Core,"In huge fungus farming community, it refers to a farm with multiple tileable cores (usually n≫1) that the player travels between planting consecutively at each one",,,N 核,,,,,,,,,,,,,,,,N Core (Núcleos),
PLD,Push Limit Detection/Detector,"A method or contraption that outputs when the input is push limited, usually used in tree farming community.",,,推动上限检测/推限检测/魔法检测,,,,,,,,,,,,,,,,Detector de Push Limit,
,Retract Through Dirt,Tree farming term. Refers to log being retracted downwards through the planting block (dirt or nylium) with pistons and being moved away,,,下吸,树场述语，描述将树根部的木头向下移走，穿过种植树苗的方块。*,,,,,,,,,,,,,,,Retraer a través de Dirt,
,Side Retraction,"Usually refers to pulling a block sideways, often used to describe bottom log processing in tree farm community.",,,侧吸,,,,,,,,,,,,,,,,Retracción lateral,
,Synced Bone Meal,"Tree farming term. Synchronous application of bone meal to a sapling with all the dispensers, usually used to differentiate from cross bone meal",,,同步催熟,树场群体的术语。指所有发射器同步地对树苗使用骨粉，一般用于和交叉催熟做出区分,,,,,,,,,,,,,,,Polvo de hueso sincronizado,
